id,Z_mm,u1,v1,u2,v2,gt_mm
1,2125.1,984.0,2014.0,1108.0,2013.0,85.6
2,2125.1,983.0,1937.0,984.0,2014.0,53.98
3,2125.1,1106.0,1937.0,1108.0,2013.0,53.98
4,2125.1,983.0,1937.0,1108.0,2013.0,101.19881619860975
5,2125.1,1106.0,1937.0,984.0,2014.0,101.19881619860975
6,2109.1,959.0,2124.0,1083.0,2124.0,85.6
7,2109.1,960.0,2050.0,959.0,2124.0,53.98
8,2109.1,1084.0,2051.0,1083.0,2124.0,53.98
9,2109.1,960.0,2050.0,1083.0,2124.0,101.19881619860975
10,2109.1,1084.0,2051.0,959.0,2124.0,101.19881619860975
11,2535.5,1021.0,1958.0,1123.0,1958.0,85.6
12,2535.5,1020.0,1895.0,1021.0,1958.0,53.98
13,2535.5,1123.0,1897.0,1123.0,1958.0,53.98
14,2535.5,1020.0,1895.0,1123.0,1958.0,101.19881619860975
15,2535.5,1123.0,1897.0,1021.0,1958.0,101.19881619860975
16,2463.8,1027.0,1919.0,1130.0,1921.0,85.6
17,2463.8,1025.0,1856.0,1027.0,1919.0,53.98
18,2463.8,1131.0,1857.0,1130.0,1921.0,53.98
19,2463.8,1025.0,1856.0,1130.0,1921.0,101.19881619860975
20,2463.8,1131.0,1857.0,1027.0,1919.0,101.19881619860975
